match_winner,match_loser,num_reverse,num_match,team_image
Dallas Fuel,Los Angeles Gladiators,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/los-angeles-gladiators-logo-v2.png
San Francisco Shock,Los Angeles Gladiators,4,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/los-angeles-gladiators-logo-v2.png
Shanghai Dragons,Guangzhou Charge,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/guangzhou-charge-logo-v2.png?v=1648776838
Houston Outlaws,Paris Eternal,1,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/paris-eternal-logo-v2.png
San Francisco Shock,Washington Justice,4,2,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/washington-justice-logo-v2.png
Los Angeles Valiant,Philadelphia Fusion,1,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/philadelphia-fusion-logo-v2.png
Florida Mayhem,Boston Uprising,4,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/boston-uprising-logo-v2_90x.png?v=1649285788
Florida Mayhem,London Spitfire,4,2,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/london-spitfire-logo-v2.png
New York Excelsior,Houston Outlaws,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/houston-outlaws-logo-v2.png
San Francisco Shock,Washington Justice,4,2,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/washington-justice-logo-v2.png
Guangzhou Charge,Philadelphia Fusion,1,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/philadelphia-fusion-logo-v2.png
Boston Uprising,Vancouver Titans,1,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/vancouver-titans-logo-v2.png
Dallas Fuel,Washington Justice,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/washington-justice-logo-v2.png
Florida Mayhem,London Spitfire,4,2,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/london-spitfire-logo-v2.png
New York Excelsior,Toronto Defiant,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/OWL_Toronto-Defiant-2_Icon_f5b5d0fd-9068-40b5-9d1d-b4f546336aab.png
Shanghai Dragons,Hangzhou Spark,2,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/hangzhou-spark-logo-v2.png
San Francisco Shock,Atlanta Reign,4,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/atlanta-reign-logo-v2_90x.png?v=1649285788
Florida Mayhem,Vancouver Titans,4,1,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/vancouver-titans-logo-v2.png
