team_region,match_winner,total_time,total_wins,time_to_win,team_image
APAC region,Seoul Dynasty,77220,19,1.1289473684210527,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/seoul-dynasty-logo-v2.png
APAC region,Shanghai Dragons,76500,18,1.1805555555555556,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/OWL_Dragons-Red_Icon_6f58c539-7af5-4180-b8c3-51ba3747105c.png
APAC region,Chengdu Hunters,39540,9,1.2203703703703703,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/chengou-hunters-logo-v2_90x.png?v=1649285788
APAC region,Philadelphia Fusion,48720,11,1.2303030303030302,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/philadelphia-fusion-logo-v2.png
APAC region,Hangzhou Spark,49860,11,1.2590909090909093,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/hangzhou-spark-logo-v2.png
APAC region,Guangzhou Charge,44160,9,1.3629629629629632,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/guangzhou-charge-logo-v2.png?v=1648776838
APAC region,Los Angeles Valiant,38520,7,1.5285714285714287,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/los-angeles-valiant-logo-v2.png
NA region,Los Angeles Gladiators,74220,18,1.1453703703703704,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/los-angeles-gladiators-logo-v2.png
NA region,Atlanta Reign,53820,13,1.15,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/atlanta-reign-logo-v2_90x.png?v=1649285788
NA region,Vancouver Titans,21120,5,1.1733333333333333,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/vancouver-titans-logo-v2.png
NA region,Dallas Fuel,85140,20,1.1825,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/dallas-fuel-logo-v2_90x.png?v=1649285788
NA region,San Francisco Shock,87600,20,1.2166666666666666,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/san-francisco-shock-logo-v2.png
NA region,Florida Mayhem,52740,12,1.2208333333333334,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/florida-mayhem-logo-v2_90x.png?v=1649285788
NA region,Boston Uprising,44640,10,1.24,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/boston-uprising-logo-v2_90x.png?v=1649285788
NA region,London Spitfire,62640,14,1.2428571428571429,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/london-spitfire-logo-v2.png
NA region,Washington Justice,50400,11,1.2727272727272727,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/washington-justice-logo-v2.png
NA region,Toronto Defiant,55860,12,1.2930555555555556,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/OWL_Toronto-Defiant-2_Icon_f5b5d0fd-9068-40b5-9d1d-b4f546336aab.png
NA region,Houston Outlaws,78120,16,1.35625,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/houston-outlaws-logo-v2.png
NA region,New York Excelsior,19740,4,1.3708333333333333,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/new-york-excelsior-logo-v2.png
NA region,Paris Eternal,6000,1,1.6666666666666667,https://cdn.shopify.com/s/files/1/0602/7650/6866/files/paris-eternal-logo-v2.png
