team_region,match_winner,total_time,total_wins,time_to_win
APAC region,Seoul Dynasty,77220,19,1.1289473684210527
APAC region,Shanghai Dragons,76500,18,1.1805555555555556
APAC region,Chengdu Hunters,39540,9,1.2203703703703703
APAC region,Philadelphia Fusion,48720,11,1.2303030303030302
APAC region,Hangzhou Spark,49860,11,1.2590909090909093
APAC region,Guangzhou Charge,44160,9,1.3629629629629632
APAC region,Los Angeles Valiant,38520,7,1.5285714285714287
NA region,Los Angeles Gladiators,74220,18,1.1453703703703704
NA region,Atlanta Reign,53820,13,1.15
NA region,Vancouver Titans,21120,5,1.1733333333333333
NA region,Dallas Fuel,85140,20,1.1825
NA region,San Francisco Shock,87600,20,1.2166666666666666
NA region,Florida Mayhem,52740,12,1.2208333333333334
NA region,Boston Uprising,44640,10,1.24
NA region,London Spitfire,62640,14,1.2428571428571429
NA region,Washington Justice,50400,11,1.2727272727272727
NA region,Toronto Defiant,55860,12,1.2930555555555556
NA region,Houston Outlaws,78120,16,1.35625
NA region,New York Excelsior,19740,4,1.3708333333333333
NA region,Paris Eternal,6000,1,1.6666666666666667
